mx1,lam1,lam2,xs,xs_err
1.0,0.03,0.04,0.0032035665182863,9.030714234709936e-06
1.0,0.03,0.06,0.0043561366325105,1.2527719018209032e-05
1.0,0.03,0.08,0.0049278179614906,1.4213007842105064e-05
1.0,0.03,0.1,0.0050977136597887,1.4829490342328876e-05
1.0,0.03,0.15,0.0049945038498764,1.4870827351328737e-05
1.0,0.03,0.2,0.0049090470661888,1.4746014322552398e-05
1.0,0.03,0.3,0.0047953146230159,1.4536422645578794e-05
1.0,0.03,0.4,0.0047406875712432,1.443525606051779e-05
1.0,0.03,0.5,0.0047255365082777,1.442143044522547e-05
1.0,0.03,0.6,0.0047083188100349,1.441720679260028e-05
1.0,0.03,0.7,0.0047828614322972,1.4518088526908029e-05
1.0,0.03,0.8,0.0048193683287452,1.4629077060522753e-05
1.0,0.03,0.9,0.0048394165930976,1.4687484866494772e-05
1.0,0.03,1.0,0.0047735012040105,1.4616332805961226e-05
1.0,0.03,2.0,0.0051559522202361,1.2242657918219186e-05
1.0,0.05,0.04,0.0027919053425583,8.092436268526594e-06
1.0,0.05,0.06,0.0051431588629472,1.489633570922914e-05
1.0,0.05,0.08,0.0070870768960277,2.074612368680204e-05
1.0,0.05,0.1,0.0085884037565526,2.5304349298653617e-05
1.0,0.05,0.15,0.010885846279416,3.234746050541127e-05
1.0,0.05,0.2,0.0115693192238252,3.501806707788267e-05
1.0,0.05,0.3,0.0122821002480047,3.742227924073309e-05
1.0,0.05,0.4,0.0125933845293626,3.844640169241705e-05
1.0,0.05,0.5,0.0128525579211311,3.911968886944424e-05
1.0,0.05,0.6,0.0128024385159922,3.923552758779933e-05
1.0,0.05,0.7,0.013044088871192,3.971165279972044e-05
1.0,0.05,0.8,0.0131568483810818,4.009064276552035e-05
1.0,0.05,0.9,0.0132722590163909,4.035203015695154e-05
1.0,0.05,1.0,0.0131320317484373,4.025724377301923e-05
1.0,0.05,2.0,0.0143204859433906,3.398622992143716e-05
1.0,0.07,0.04,0.0024952375924987,7.3746073516471744e-06
1.0,0.07,0.06,0.0050370321391313,1.491333159851898e-05
1.0,0.07,0.08,0.0078332569642551,7.347025256124047e-06
1.0,0.07,0.1,0.0105373884420143,9.887007848392862e-06
1.0,0.07,0.15,0.0158039675811265,1.4916257030066396e-05
1.0,0.07,0.2,0.0190103834999685,1.80703465344972e-05
1.0,0.07,0.3,0.0223847081409826,2.133683272883344e-05
1.0,0.07,0.4,0.0237343473866546,2.27253351310156e-05
1.0,0.07,0.5,0.0245113672061564,2.3473526288056772e-05
1.0,0.07,0.6,0.0245382378248371,2.3740092535744027e-05
1.0,0.07,0.7,0.0253132328856021,2.427351355582526e-05
1.0,0.07,0.8,0.0253510172014445,2.4410509308258448e-05
1.0,0.07,0.9,0.0256170051593326,2.46644544630476e-05
1.0,0.07,1.0,0.0253727726111519,2.4656724072840076e-05
1.0,0.07,2.0,0.0279064598408381,5.418236146332915e-05
1.0,0.08,0.04,0.0024330389064162,7.207671348022884e-06
1.0,0.08,0.06,0.0049997604746866,1.489865910504055e-05
1.0,0.08,0.08,0.00802555566,5.84872879e-05
1.0,0.08,0.1,0.0111346072,8.11298287e-05
1.0,0.08,0.15,0.0178404830505495,2.381766237530104e-05
1.0,0.08,0.2,0.0224147376502324,3.0105630805234796e-05
1.0,0.08,0.3,0.0274104250536784,3.7100648721134415e-05
1.0,0.08,0.4,0.0299139670484402,4.055667721032802e-05
1.0,0.08,0.5,0.0310765248,0.00023154714
1.0,0.08,0.6,0.0315511409971894,4.315003521515033e-05
1.0,0.08,0.7,0.0323533524956032,4.411992787914217e-05
1.0,0.08,0.8,0.0322850633560863,4.4312150646488345e-05
1.0,0.08,0.9,0.0331774355421419,4.521067403495951e-05
1.0,0.08,1.0,0.0329521658,0.000247956969
1.0,0.08,2.0,0.036570931768899,7.085544339411176e-05
1.0,0.1,0.04,0.002303860464996,6.919337487290351e-06
1.0,0.1,0.06,0.0049181409839269,1.4758170862777631e-05
1.0,0.1,0.08,0.00825405408,6.03257581e-05
1.0,0.1,0.1,0.0116878088,8.61777215e-05
1.0,0.1,0.15,0.0208045794603284,2.7923514064116047e-05
1.0,0.1,0.2,0.028217833984877,3.802204223922973e-05
1.0,0.1,0.3,0.0382977761982773,5.1577830320594274e-05
1.0,0.1,0.4,0.0432168344101068,5.859171642065464e-05
1.0,0.1,0.5,0.046459146,0.000344681252
1.0,0.1,0.6,0.0472459115593513,6.47840420867218e-05
1.0,0.1,0.7,0.04842849958177,6.653603912543065e-05
1.0,0.1,0.8,0.0496351134441441,6.798106174870119e-05
1.0,0.1,0.9,0.0511848109580042,6.962142174583139e-05
1.0,0.1,1.0,0.0509989519,0.000382996351
1.0,0.1,2.0,0.0569321422442869,0.0001102938272774
1.0,0.15,0.04,0.0021916085063738,6.622436295335792e-06
1.0,0.15,0.06,0.0048143362185372,1.454988637615999e-05
1.0,0.15,0.08,0.0083631188370065,1.1259058084093857e-05
1.0,0.15,0.1,0.0125678387331204,1.6932947335100827e-05
1.0,0.15,0.15,0.0248200202500041,3.356831703859402e-05
1.0,0.15,0.2,0.038223111758035,5.153464700936803e-05
1.0,0.15,0.3,0.0612982076019643,8.291909416809727e-05
1.0,0.15,0.4,0.0776200333280758,0.000105228976489
1.0,0.15,0.5,0.0888528456021337,0.0001205206794936
1.0,0.15,0.6,0.0957827290605861,0.0001304479804094
1.0,0.15,0.7,0.1014987322505533,0.0001381075561048
1.0,0.15,0.8,0.1041313985547525,0.0001426459768192
1.0,0.15,0.9,0.107520157250098,0.0001471684696582
1.0,0.15,1.0,0.1106282499680507,0.0001511270394571
1.0,0.15,2.0,0.1258810000725616,0.0002444951296003
1.0,0.2,0.04,0.0021165567974834,6.462567458765524e-06
1.0,0.2,0.06,0.0047401746026364,1.4448936780234731e-05
1.0,0.2,0.08,0.0083790449922075,1.1344351497005147e-05
1.0,0.2,0.1,0.0128297408164871,1.7351077465791564e-05
1.0,0.2,0.15,0.0267843149603343,3.627998029689165e-05
1.0,0.2,0.2,0.0432245354382229,5.860228686049831e-05
1.0,0.2,0.3,0.0774102523924716,0.0001050801241286
1.0,0.2,0.4,0.106898364457993,0.0001453606418908
1.0,0.2,0.5,0.1308727630372814,0.0001774730888876
1.0,0.2,0.6,0.1483518642388514,0.0002015721978305
1.0,0.2,0.7,0.1586859434222024,0.0002175914364553
1.0,0.2,0.8,0.1694295202415165,0.0002319022749484
1.0,0.2,0.9,0.177371366185558,0.0002427876642025
1.0,0.2,1.0,0.1824756113710781,0.0002508007882428
1.0,0.2,2.0,0.2211805708343534,0.0004288079664917
1.0,0.3,0.04,0.0021085597290842,6.442172596206015e-06
1.0,0.3,0.06,0.0047393860061451,1.4452236840838975e-05
1.0,0.3,0.08,0.0082850615243085,1.1347621071670978e-05
1.0,0.3,0.1,0.0129909180988352,1.7657981484865377e-05
1.0,0.3,0.15,0.0279636094613037,3.825421751574265e-05
1.0,0.3,0.2,0.047186827518409,6.47649336477962e-05
1.0,0.3,0.3,0.095862301917091,0.0001305509707153
1.0,0.3,0.4,0.1475805867100498,0.0002010515579355
1.0,0.3,0.5,0.1981688423565522,0.0002689735892456
1.0,0.3,0.6,0.2379588935375289,0.0003254937318025
1.0,0.3,0.7,0.2786965192339987,0.0003790789301596
1.0,0.3,0.8,0.3050130441750998,0.0004184830903788
1.0,0.3,0.9,0.3320294442399955,0.0004549769853823
1.0,0.3,1.0,0.3521643868197836,0.0004840814820892
1.0,0.3,2.0,0.4752869293360728,0.0009221243850903
1.0,0.4,0.04,0.0021117573751345,6.4653984788496864e-06
1.0,0.4,0.06,0.0047352914899972,1.45022904054516e-05
1.0,0.4,0.08,0.0084617711746641,1.1510480217669588e-05
1.0,0.4,0.1,0.0130011940496469,1.7794973281205168e-05
1.0,0.4,0.15,0.0285579085239954,3.917529422691061e-05
1.0,0.4,0.2,0.0495442510154364,6.79216926112229e-05
1.0,0.4,0.3,0.1039621644780611,0.0001425480343397
1.0,0.4,0.4,0.1691303965935375,0.0002317029350994
1.0,0.4,0.5,0.2416705817439544,0.0003284908055754
1.0,0.4,0.6,0.3045778832680861,0.0003927332815387
1.0,0.4,0.7,0.3696848575770042,0.0004387455994058
1.0,0.4,0.8,0.4283179386662517,0.0005081084508998
1.0,0.4,0.9,0.4763349945491875,0.0005678928155797
1.0,0.4,1.0,0.5288547047572723,0.0006267159671668
1.0,0.4,2.0,0.7976771976838887,0.0015458847866246
1.0,0.5,0.04,0.0021161842766859,6.490085619969041e-06
1.0,0.5,0.06,0.0048550991826327,1.4752305534164487e-05
1.0,0.5,0.08,0.00826710578,6.26799722e-05
1.0,0.5,0.1,0.0130382085,9.82429185e-05
1.0,0.5,0.15,0.0290988251207449,3.459884472671064e-05
1.0,0.5,0.2,0.0509065047715514,6.052254949315337e-05
1.0,0.5,0.3,0.1105018411228635,0.0001307913685695
1.0,0.5,0.4,0.1830535983645816,0.0002175543320072
1.0,0.5,0.5,0.268251142,0.0020094987
1.0,0.5,0.6,0.3514350181651496,0.0004188830160254
1.0,0.5,0.7,0.4402508501323155,0.0005240633603858
1.0,0.5,0.8,0.5210380532560905,0.0006219228654386
1.0,0.5,0.9,0.6000758986307116,0.0007165713100374
1.0,0.5,1.0,0.6838925,0.0051343628
1.0,0.5,2.0,1.1606710770311546,0.0022511505258202
1.0,0.6,0.04,0.0021492940284246,6.582920584683023e-06
1.0,0.6,0.06,0.0047857942924595,1.472699819165745e-05
1.0,0.6,0.08,0.008489871271303,1.012196844002671e-05
1.0,0.6,0.1,0.0132370222169583,1.5583286324844944e-05
1.0,0.6,0.15,0.0296491653716409,3.526998738552752e-05
1.0,0.6,0.2,0.0521166619470519,6.121321958274551e-05
1.0,0.6,0.3,0.1136010267157368,0.0001350424088037
1.0,0.6,0.4,0.1925143029430484,0.0002322587441319
1.0,0.6,0.5,0.2847784374326751,0.0003318784299602
1.0,0.6,0.6,0.3896967948329534,0.0004574724650479
1.0,0.6,0.7,0.4975673469731189,0.0005910518997683
1.0,0.6,0.8,0.6051006504354198,0.0007195554975781
1.0,0.6,0.9,0.7128520930978193,0.0008468236134275
1.0,0.6,1.0,0.8227253651271109,0.0009742283784862
1.0,0.6,2.0,1.5456919944075609,0.0033518783481832
1.0,0.7,0.04,0.002189433325996,6.706261597388318e-06
1.0,0.7,0.06,0.0049142751916989,1.5097374763757458e-05
1.0,0.7,0.08,0.0086504362705347,1.0303665067961174e-05
1.0,0.7,0.1,0.0134786704324581,1.6061496635535404e-05
1.0,0.7,0.15,0.0303120566560601,3.60428431581272e-05
1.0,0.7,0.2,0.0532611936392968,6.342716874690233e-05
1.0,0.7,0.3,0.116850362097921,0.000139290685085
1.0,0.7,0.4,0.2007540091095674,0.0002395795272032
1.0,0.7,0.5,0.30290186096638,0.0003606663503684
1.0,0.7,0.6,0.4149332605205908,0.0004954523424769
1.0,0.7,0.7,0.5407667447090032,0.0006440320854592
1.0,0.7,0.8,0.6711340255075036,0.0007980164232382
1.0,0.7,0.9,0.7932946738227914,0.0009488516275009
1.0,0.7,1.0,0.9266407407001104,0.0011061047916374
1.0,0.7,2.0,1.9189157947502335,0.0037304100870665
1.0,0.8,0.04,0.0022389018938187,6.851299630837436e-06
1.0,0.8,0.06,0.0050431721076438,1.5418294902002768e-05
1.0,0.8,0.08,0.0088307439173037,1.0520288047320406e-05
1.0,0.8,0.1,0.0136904689737218,1.6364589545066683e-05
1.0,0.8,0.15,0.0306689739530901,3.6662826152450245e-05
1.0,0.8,0.2,0.0545453270297245,6.498922498544778e-05
1.0,0.8,0.3,0.1216643231303992,0.0001445097722275
1.0,0.8,0.4,0.2099259426711441,0.000250121682193
1.0,0.8,0.5,0.3187346113312488,0.0003793115510906
1.0,0.8,0.6,0.4400668495545039,0.0005257752525519
1.0,0.8,0.7,0.5791047415469995,0.0006891957340987
1.0,0.8,0.8,0.727594921215142,0.0008634101928472
1.0,0.8,0.9,0.8749453529754707,0.0010390051087495
1.0,0.8,1.0,1.0234375758987917,0.0012168344052929
1.0,0.8,2.0,2.294523538226838,0.004460004936438
1.0,0.9,0.04,0.0022471710198032,6.92712269394486e-06
1.0,0.9,0.06,0.0050888616250242,1.5620286450845743e-05
1.0,0.9,0.08,0.0091178139953587,1.0799267660899698e-05
1.0,0.9,0.1,0.0141959833761135,1.6833899782405413e-05
1.0,0.9,0.15,0.0317665551891467,3.770893768124589e-05
1.0,0.9,0.2,0.0562155857399979,6.667283559774547e-05
1.0,0.9,0.3,0.1248894878120108,0.0001481266881553
1.0,0.9,0.4,0.2170201673899232,0.0002577336843199
1.0,0.9,0.5,0.3317090704862903,0.0003935035218897
1.0,0.9,0.6,0.4624053559798033,0.0005486076012332
1.0,0.9,0.7,0.6077850275681694,0.0007217199499986
1.0,0.9,0.8,0.7649510278095853,0.0009086714717569
1.0,0.9,0.9,0.9305294731184356,0.0011047199474204
1.0,0.9,1.0,1.0927924515066163,0.0013016093301634
1.0,0.9,2.0,2.638589520093141,0.0051342153413483
1.0,1.0,0.04,0.0022827254125629,7.009554631163565e-06
1.0,1.0,0.06,0.0051807611986893,1.5844530002373606e-05
1.0,1.0,0.08,0.00913873794,6.87317459e-05
1.0,1.0,0.1,0.01423929,0.000107186623
1.0,1.0,0.15,0.0321616084793348,3.8147805908126846e-05
1.0,1.0,0.2,0.0568785635512168,6.75344826278549e-05
1.0,1.0,0.3,0.126217601182243,0.0001499347858031
1.0,1.0,0.4,0.2214618752788328,0.000262794679492
1.0,1.0,0.5,0.340552219,0.00254996948
1.0,1.0,0.6,0.4758597239909094,0.0005650864434611
1.0,1.0,0.7,0.6298475294335039,0.0007477859089241
1.0,1.0,0.8,0.7925580281046792,0.0009434883793077
1.0,1.0,0.9,0.9696820081259068,0.0011544930482358
1.0,1.0,1.0,1.15928963,0.0087135083
1.0,1.0,2.0,2.969614302270022,0.0057808202333922
1.0,2.0,0.04,0.002462260514233,5.920543073194333e-06
1.0,2.0,0.06,0.0055233265499363,1.3295237358168524e-05
1.0,2.0,0.08,0.0098143043408609,1.929071857217596e-05
1.0,2.0,0.1,0.0153488601410432,3.374369634362435e-05
1.0,2.0,0.15,0.0346234063224549,6.792775950461269e-05
1.0,2.0,0.2,0.0615738762175615,0.0001206990766349
1.0,2.0,0.3,0.1375589666884448,0.0002702228252857
1.0,2.0,0.4,0.2433719633947739,0.0004783598225334
1.0,2.0,0.5,0.3782158961362073,0.0007430068367195
1.0,2.0,0.6,0.5434369763894097,0.0010664642239329
1.0,2.0,0.7,0.7312194655469669,0.001437815656123
1.0,2.0,0.8,0.9472282077876256,0.0018621063220851
1.0,2.0,0.9,1.1938628644314817,0.0023409774074307
1.0,2.0,1.0,1.4546232472596243,0.0028549941219056
1.0,2.0,2.0,4.927695918089514,0.010464188658977
1.5,0.03,0.04,0.0002848334867512,8.634805220549904e-07
1.5,0.03,0.06,0.0004391800316771,1.3316381411166905e-06
1.5,0.03,0.08,0.0005252430469353,1.6152986060380678e-06
1.5,0.03,0.1,0.0005714320214577,1.7786393994720156e-06
1.5,0.03,0.15,0.0006302715079394,1.983505425171119e-06
1.5,0.03,0.2,0.0006607296068867,2.073951729722456e-06
1.5,0.03,0.3,0.0006662541464361,2.1091997503609807e-06
1.5,0.03,0.4,0.0006929112362782,2.1664361779925434e-06
1.5,0.03,0.5,0.0006933377143723,2.1782022608727577e-06
1.5,0.03,0.6,0.0006978508585337,2.197182887697568e-06
1.5,0.03,0.7,0.000698593278583,2.203363109198218e-06
1.5,0.03,0.8,0.00069738060446,2.2125377154340884e-06
1.5,0.03,0.9,0.0007053198952317,2.234630965576416e-06
1.5,0.03,1.0,0.0007141644247939,2.259391701333765e-06
1.5,0.03,2.0,0.0008299667257352,2.0567372500657107e-06
1.5,0.05,0.04,0.0003060706816075,9.46755139558344e-07
1.5,0.05,0.06,0.0005768301730157,5.643740297351425e-07
1.5,0.05,0.08,0.0008364536254378,8.196397434009096e-07
1.5,0.05,0.1,0.0010503386851944,1.0327447326576331e-06
1.5,0.05,0.15,0.0014074091611837,1.3914182026547256e-06
1.5,0.05,0.2,0.0016009773991504,1.5850310300034754e-06
1.5,0.05,0.3,0.0017718810997466,1.758597344438496e-06
1.5,0.05,0.4,0.0018398745331614,1.829261482386832e-06
1.5,0.05,0.5,0.0018864019270079,1.8723185164550376e-06
1.5,0.05,0.6,0.001865751896595,1.8757507814625587e-06
1.5,0.05,0.7,0.0018978619938164,1.9028244275461575e-06
1.5,0.05,0.8,0.0019250262877824,1.926984489615925e-06
1.5,0.05,0.9,0.0019481584827291,1.9500817041542437e-06
1.5,0.05,1.0,0.001952173030704,1.9628271061766546e-06
1.5,0.05,2.0,0.00231731199342,5.023268472632072e-06
1.5,0.07,0.04,0.0003098618925167,9.650299268262762e-07
1.5,0.07,0.06,0.0006331193834358,6.227611068048348e-07
1.5,0.07,0.08,0.0009957263737495,9.805498240730791e-07
1.5,0.07,0.1,0.0013572728268234,1.3382879413324589e-06
1.5,0.07,0.15,0.0021096826127039,2.0857250412385853e-06
1.5,0.07,0.2,0.002621846083208,2.596447922017698e-06
1.5,0.07,0.3,0.0031636213790829,3.1400322228874536e-06
1.5,0.07,0.4,0.0033523910091572,3.3657160543938168e-06
1.5,0.07,0.5,0.0035461031445651,3.5285958078988588e-06
1.5,0.07,0.6,0.0035878131892369,3.5960307088440365e-06
1.5,0.07,0.7,0.0036443168994856,3.6567934042257695e-06
1.5,0.07,0.8,0.0036879888542796,3.7061349811954818e-06
1.5,0.07,0.9,0.003738931765016,3.758535955330204e-06
1.5,0.07,1.0,0.003826098253779,3.831036354759243e-06
1.5,0.07,2.0,0.0045150117603068,9.807910923873068e-06
1.5,0.08,0.04,0.0003088123854272,9.669543981214048e-07
1.5,0.08,0.06,0.0006470555765316,6.380416255940927e-07
1.5,0.08,0.08,0.0010435399322114,2.525050292686331e-06
1.5,0.08,0.1,0.0014568281361681,3.5288765831746684e-06
1.5,0.08,0.15,0.002400843782341,2.9091586407439744e-06
1.5,0.08,0.2,0.0030937050589701,3.7573811408861726e-06
1.5,0.08,0.3,0.0039152300485835,4.76129203608752e-06
1.5,0.08,0.4,0.0043004073706204,5.245803964127479e-06
1.5,0.08,0.5,0.00453472016,3.4924853e-05
1.5,0.08,0.6,0.004618459312308,5.670118447200931e-06
1.5,0.08,0.7,0.0046962144033454,5.777413153515275e-06
1.5,0.08,0.8,0.0048133830309452,5.903468619004263e-06
1.5,0.08,0.9,0.0048764797973118,5.98379844009851e-06
1.5,0.08,1.0,0.00494334818,3.84536285e-05
1.5,0.08,2.0,0.0058796068210155,1.1901242486561665e-05
1.5,0.1,0.04,0.000307121734602,9.65628932291297e-07
1.5,0.1,0.06,0.000666603032987,6.582202454110205e-07
