sample, xsec [pb], xsec_err [pb]
Signal_1-5_0-3_1-0.0, 0.05277990789279481, 6.53222078611056e-05
Signal_1-5_0-5_0-08.0, 1.24880453e-03, 9.75033609e-06
Signal_1-0_1-0_0-5.0, 3.40552219e-01, 2.54996948e-03
Signal_1-5_0-5_0-3.0, 0.016428010042248656, 2.0187147716041366e-05
Signal_1-5_0-5_0-5.0, 3.99330034e-02, 3.11511115e-04
Signal_1-5_0-5_0-1.0, 1.96727439e-03, 1.52667115e-05
Signal_1-5_0-5_1-0.0, 1.04393286e-01, 8.14702814e-04
Signal_1-5_1-0_0-08.0, 1.48872741e-03, 1.16200493e-05
Signal_2-0_0-08_0-08.0, 2.10826100e-04, 1.65421232e-06
Signal_1-5_0-08_0-5.0, 4.53472016e-03, 3.49248530e-05
Signal_1-5_0-08_1-0.0, 4.94334818e-03, 3.84536285e-05
Signal_1-5_0-1_0-3.0, 0.00542034575327557, 6.600998268465608e-06
Signal_1-5_0-1_0-08.0, 1.10474837e-03, 8.47502758e-06
Signal_1-5_0-3_0-1.0, 0.0018661350582762177, 2.297413020340117e-06
Signal_1-5_0-3_0-3.0, 0.013866219590662745, 1.704824299178482e-05
Signal_1-5_0-3_0-5.0, 0.028428304463975422, 3.508690085149767e-05
Signal_2-0_0-3_1-0.0, 0.01142558049790459, 1.4446099536152343e-05
Signal_2-0_0-5_0-5.0, 8.49659625e-03, 6.80861598e-05
Signal_2-0_0-5_1-0.0, 2.25699227e-02, 1.82258663e-04
Signal_2-0_1-0_0-5.0, 1.30661406e-02, 1.10690264e-04
Signal_1-0_0-3_1-0.0, 0.3521643868197836, 0.00048408148208925494
Signal_1-0_0-5_0-3.0, 0.11050184112286351, 0.00013079136856957558
Signal_1-5_0-1_0-1.0, 1.60156776e-03, 1.22802138e-05
Signal_1-5_0-1_0-5.0, 6.73188719e-03, 5.18728367e-05
Signal_1-5_0-1_1-0.0, 7.72620349e-03, 5.96925110e-05
Signal_1-5_0-08_0-1.0, 0.0014568281361681734, 3.5288765831746684e-06
Signal_1-0_1-0_0-1.0, 1.42392900e-02, 1.07186623e-04
Signal_1-0_0-5_1-0.0, 6.83892500e-01, 5.13436280e-03
Signal_1-0_0-08_0-08.0, 8.02555566e-03, 5.84872879e-05
Signal_1-0_0-08_0-1.0, 1.11346072e-02, 8.11298287e-05
