sample,bdtcut,count,b0,sigmab0
sel_ttbar.1_v2.root,0.168,0,0.0,0.0
sel_ttbar.2_v2.root,0.168,0,0.0,0.0
sel_ttbar.3_v2.root,0.168,2,1.5097655476549594,1.0675654567486434
sel_ttbar.4_v2.root,0.168,0,0.0,0.0
sel_ttbar.5_v2.root,0.168,0,0.0,0.0
sel_ttbar.6_v2.root,0.168,3,0.6322706719863943,0.36504164267205036
sel_ttbar.7_v2.root,0.168,0,0.0,0.0
sel_ttbar.8_v2.root,0.168,0,0.0,0.0
sel_ttbar.9_v2.root,0.168,0,0.0,0.0
sel_wjets.2_v2.root,0.168,0,0.0,0.0
sel_wjets.3_v2.root,0.168,0,0.0,0.0
sel_wjets.4_v2.root,0.168,0,0.0,0.0
sel_wjets.5_v2.root,0.168,17,4.22505744816462,1.0247269490050201
sel_wjets.6_v2.root,0.168,51,5.737249174598445,0.8033755756296342
sel_wjets.7_v2.root,0.168,3,0.34850700757880504,0.20121061464009404
sel_wjets.8_v2.root,0.168,0,0.0,0.0
sel_ww2l2v.0_v2.root,0.168,0,0.0,0.0
sel_wwlv2q.1_v2.root,0.168,0,0.0,0.0
sel_wwlv2q.2_v2.root,0.168,0,0.0,0.0
sel_wwlv2q.3_v2.root,0.168,1,0.018511074000000002,0.018511074000000002
sel_wwlv2q.4_v2.root,0.168,4,0.003905120159999999,0.0019525600799999996
sel_wwlv2q.5_v2.root,0.168,284,0.03878334950204082,0.0023013683916171877
sel_wwlv2q.6_v2.root,0.168,154,0.005431850914285713,0.00043771102038936855
sel_wwlv2q.7_v2.root,0.168,14,4.48180997142857e-05,1.197814098979487e-05
sel_wz2l2q.1_v2.root,0.168,0,0.0,0.0
sel_wz2l2q.2_v2.root,0.168,0,0.0,0.0
sel_wz2l2q.3_v2.root,0.168,0,0.0,0.0
sel_wz2l2q.4_v2.root,0.168,0,0.0,0.0
sel_wz2l2q.5_v2.root,0.168,8,6.516292800000002e-05,2.303857413538538e-05
sel_wz2l2q.6_v2.root,0.168,4,8.395469387755101e-06,4.197734693877551e-06
sel_wz2l2q.7_v2.root,0.168,0,0.0,0.0
sel_wz2l2q.8_v2.root,0.168,0,0.0,0.0
sel_wz2l2q.9_v2.root,0.168,0,0.0,0.0
sel_wz3l1v.0_v2.root,0.168,0,0.0,0.0
sel_wzlv2q.1_v2.root,0.168,0,0.0,0.0
sel_wzlv2q.2_v2.root,0.168,0,0.0,0.0
sel_wzlv2q.3_v2.root,0.168,3,0.012522366,0.0072297913809910175
sel_wzlv2q.4_v2.root,0.168,4,0.0008159968800000001,0.00040799844000000005
sel_wzlv2q.5_v2.root,0.168,242,0.006638316036,0.00042672711679227286
sel_wzlv2q.6_v2.root,0.168,106,0.000747693930612245,7.262245441740065e-05
sel_wzlv2q.7_v2.root,0.168,11,6.701990204081633e-06,2.020726077779654e-06
sel_wzlv2q.9_v2.root,0.168,0,0.0,0.0
sel_zjets.1_v2.root,0.168,0,0.0,0.0
sel_zjets.2_v2.root,0.168,0,0.0,0.0
sel_zjets.3_v2.root,0.168,0,0.0,0.0
sel_zjets.4_v2.root,0.168,0,0.0,0.0
sel_zjets.5_v2.root,0.168,36,8.8092866212324,1.4682144368720664
sel_zjets.6_v2.root,0.168,177,19.29374321063435,1.4502065449579857
sel_zjets.7_v2.root,0.168,15,0.38406219802245994,0.09916443312325346
sel_zjets.8_v2.root,0.168,0,0.0,0.0
sel_zz4l.0_v2.root,0.168,0,0.0,0.0
TOTAL,,1139,41.027422725782685,2.6977593624030165
