sample,bdtcut,count,b0,sigmab0
sel_ttbar.1_v2.root,-0.19,45596,1697314.4791314946,7948.751931850071
sel_ttbar.2_v2.root,-0.19,51125,584525.0542514005,2585.1543026785207
sel_ttbar.3_v2.root,-0.19,115057,868545.4730826833,2560.566374683454
sel_ttbar.4_v2.root,-0.19,167686,279983.6491077834,683.7294192349234
sel_ttbar.5_v2.root,-0.19,9885,61375.1358929038,617.3111621399869
sel_ttbar.6_v2.root,-0.19,8119,17111.35195285845,189.90353689728477
sel_ttbar.7_v2.root,-0.19,5337,1954.3625185866658,26.752016498662126
sel_ttbar.8_v2.root,-0.19,3511,9.85851355380515,0.16637804739238948
sel_ttbar.9_v2.root,-0.19,3382,0.15893140748020432,0.0027328948852933057
sel_wjets.2_v2.root,-0.19,65,400476.8414802329,49673.038742125194
sel_wjets.3_v2.root,-0.19,38373,983766.0340987789,5022.025886902168
sel_wjets.4_v2.root,-0.19,111071,553762.9019566769,1661.5886496936737
sel_wjets.5_v2.root,-0.19,73075,181615.33707331162,671.8434834370119
sel_wjets.6_v2.root,-0.19,76461,86014.86453705329,311.066700674172
sel_wjets.7_v2.root,-0.19,19388,22522.8462097929,161.75464686506493
sel_wjets.8_v2.root,-0.19,30102,787.1335876940925,4.536811851857718
sel_ww2l2v.0_v2.root,-0.19,626,1121.932508232339,44.84144151387579
sel_wwlv2q.1_v2.root,-0.19,431,5544.525960625,267.0704180281266
sel_wwlv2q.2_v2.root,-0.19,1859,5108.621901239998,118.48518910632951
sel_wwlv2q.3_v2.root,-0.19,32257,5971.117140179999,33.24632178821297
sel_wwlv2q.4_v2.root,-0.19,46642,455.3565362567998,2.1084484756119846
sel_wwlv2q.5_v2.root,-0.19,47624,65.03585340440816,0.29801622467096606
sel_wwlv2q.6_v2.root,-0.19,51604,18.201638609142858,0.08012514048474048
sel_wwlv2q.7_v2.root,-0.19,58893,1.8853373903381643,0.007768859042689373
sel_wz2l2q.1_v2.root,-0.19,87,69.66939767441859,7.4693434541343295
sel_wz2l2q.2_v2.root,-0.19,277,46.54974346153846,2.796903016724758
sel_wz2l2q.3_v2.root,-0.19,5081,61.003730326530615,0.8558187459908706
sel_wz2l2q.4_v2.root,-0.19,11042,6.767668841632653,0.06440435394380982
sel_wz2l2q.5_v2.root,-0.19,25691,2.0926259790599993,0.013055728436419025
sel_wz2l2q.6_v2.root,-0.19,36454,0.7651211026530609,0.004007352865436611
sel_wz2l2q.7_v2.root,-0.19,48591,0.08840210212653064,0.00040103721331201153
sel_wz2l2q.8_v2.root,-0.19,1559,0.00017317808519999996,4.386012608583628e-06
sel_wz2l2q.9_v2.root,-0.19,2313,2.051577801e-07,4.265796904679801e-09
sel_wz3l1v.0_v2.root,-0.19,718,66.45679182352941,2.480145443292168
sel_wzlv2q.1_v2.root,-0.19,1203,2449.767546,70.63046463714205
sel_wzlv2q.2_v2.root,-0.19,2616,2211.4094400000004,43.236475989719615
sel_wzlv2q.3_v2.root,-0.19,48534,2025.8683714800009,9.195771712313679
sel_wzlv2q.4_v2.root,-0.19,82329,167.9505178338,0.5853355844017286
sel_wzlv2q.5_v2.root,-0.19,71080,19.497996026400003,0.0731334847989584
sel_wzlv2q.6_v2.root,-0.19,71884,5.070493444163263,0.01891185405788149
sel_wzlv2q.7_v2.root,-0.19,75348,0.4590741435428572,0.0016724262214930833
sel_wzlv2q.9_v2.root,-0.19,2347,6.587517354e-07,1.3597692868238647e-08
sel_zjets.1_v2.root,-0.19,1,304924.33708575455,304924.33708575455
sel_zjets.2_v2.root,-0.19,5711,266680.81260980974,3528.870244069579
sel_zjets.3_v2.root,-0.19,69224,1144514.1082771674,4350.035540059263
sel_zjets.4_v2.root,-0.19,146368,632526.6393172211,1653.3155542302104
sel_zjets.5_v2.root,-0.19,80381,196694.24108368924,693.7690831113131
sel_zjets.6_v2.root,-0.19,79956,87155.39729658082,308.22563593497006
sel_zjets.7_v2.root,-0.19,76720,19643.50122152209,70.91932626110996
sel_zjets.8_v2.root,-0.19,94062,553.2246963818299,1.8038252203109073
sel_zz4l.0_v2.root,-0.19,1950,1193.9009557768923,27.03653266538916
TOTAL,,2039696,8419071.738840336,309171.33171427064
