mx1,lumi,mode,xs_ref,eff_ref,rate_sig_ref,r_exp_m2s,N_exc_exp_m2s,r_exp_m1s,N_exc_exp_m1s,r_exp_med,N_exc_exp_med,r_exp_p1s,N_exc_exp_p1s,r_exp_p2s,N_exc_exp_p2s
1,300,none,0.0116878,0.1323,463.889,0.157402,73.0171,0.209976,97.4057,0.291992,135.452,0.407218,188.904,0.544289,252.49
1.5,300,none,0.00160157,0.1198,57.5603,0.435883,25.0896,0.581473,33.4698,0.808594,46.5429,1.13735,65.4662,1.53482,88.3448
2,300,none,0.000328851,0.1322,13.0422,1.06665,13.9115,1.42694,18.6105,2.00781,26.1863,2.84815,37.1462,3.85334,50.2561
2.5,300,none,8.16171e-05,0.1374,3.36426,2.41272,8.11701,3.25363,10.946,4.60938,15.5071,6.63042,22.3065,9.14051,30.751
1,300,stats,0.0116878,0.1323,463.889,0.203083,94.208,0.269857,125.184,0.374023,173.505,0.520129,241.282,0.691312,320.692
1.5,300,stats,0.00160157,0.1198,57.5603,0.505371,29.0893,0.674171,38.8055,0.9375,53.9628,1.31119,75.4726,1.75022,100.743
2,300,stats,0.000328851,0.1322,13.0422,1.22501,15.9768,1.64065,21.3978,2.28906,29.8545,3.21062,41.8736,4.33857,56.5846
2.5,300,stats,8.16171e-05,0.1374,3.36426,2.6944,9.06465,3.63775,12.2383,5.10938,17.1893,7.26819,24.4521,9.94905,33.4712
1,300,sys1,0.0116878,0.1323,463.889,0.203819,94.5495,0.272976,126.63,0.380859,176.677,0.537226,249.213,0.733686,340.349
1.5,300,sys1,0.00160157,0.1198,57.5603,0.506348,29.1455,0.68087,39.1911,0.953125,54.8622,1.35204,77.8239,1.85337,106.681
2,300,sys1,0.000328851,0.1322,13.0422,1.22772,16.0122,1.64897,21.5062,2.32812,30.3639,3.32109,43.3143,4.56899,59.5898
2.5,300,sys1,8.16171e-05,0.1374,3.36426,2.71533,9.13508,3.66171,12.3189,5.1875,17.4521,7.48271,25.1738,10.4302,35.0897
1,300,sys2,0.0116878,0.1323,463.889,0.578644,268.427,0.780319,361.981,1.10547,512.815,1.58577,735.622,2.20314,1022.01
1.5,300,sys2,0.00160157,0.1198,57.5603,0.715637,41.1923,0.965059,55.5491,1.36719,78.6958,1.96665,113.201,2.72828,157.041
2,300,sys2,0.000328851,0.1322,13.0422,1.41083,18.4003,1.90254,24.8134,2.69531,35.1529,3.88786,50.7063,5.41928,70.6795
2.5,300,sys2,8.16171e-05,0.1374,3.36426,2.85205,9.59503,3.87768,13.0455,5.53125,18.6086,8.02265,26.9903,11.2872,37.973
1,300,sys3,0.0116878,0.1323,463.889,0.731995,339.564,0.987117,457.913,1.39844,648.72,2.01718,935.747,2.82048,1308.39
1.5,300,sys3,0.00160157,0.1198,57.5603,0.830139,47.7831,1.11947,64.437,1.58594,91.2871,2.29396,132.041,3.21257,184.917
2,300,sys3,0.000328851,0.1322,13.0422,1.52533,19.8937,2.0461,26.6857,2.91406,38.0058,4.22662,55.1245,5.91029,77.0833
2.5,300,sys3,8.16171e-05,0.1374,3.36426,2.95679,9.94739,3.99838,13.4516,5.73438,19.2919,8.36298,28.1352,11.8013,39.7027
