model,bdt_cut,mx1,b0_ref,sigmab0_ref
v2_2500_4,-1.000000,1.000000,2808.226872,103.057202
v2_2500_4,-0.300000,1.000000,2808.226872,103.057202
v2_2500_4,-0.290000,1.000000,2808.226872,103.057202
v2_2500_4,-0.280000,1.000000,2808.226872,103.057202
v2_2500_4,-0.270000,1.000000,2808.226872,103.057202
v2_2500_4,-0.260000,1.000000,2808.226872,103.057202
v2_2500_4,-0.250000,1.000000,2808.226872,103.057202
v2_2500_4,-0.240000,1.000000,2808.226872,103.057202
v2_2500_4,-0.230000,1.000000,2808.226872,103.057202
v2_2500_4,-0.220000,1.000000,2808.214515,103.057202
v2_2500_4,-0.210000,1.000000,2808.187194,103.057201
v2_2500_4,-0.200000,1.000000,2807.941597,103.057189
v2_2500_4,-0.190000,1.000000,2806.357246,103.057111
v2_2500_4,-0.180000,1.000000,2796.501963,103.015881
v2_2500_4,-0.170000,1.000000,2781.102721,103.015126
v2_2500_4,-0.160000,1.000000,2739.643993,102.890858
v2_2500_4,-0.150000,1.000000,2683.902250,102.806732
v2_2500_4,-0.140000,1.000000,2601.396568,102.639717
v2_2500_4,-0.130000,1.000000,2503.217360,102.512965
v2_2500_4,-0.120000,1.000000,2375.524807,102.344045
v2_2500_4,-0.110000,1.000000,2222.606295,102.215198
v2_2500_4,-0.100000,1.000000,2047.590137,102.106253
v2_2500_4,-0.090000,1.000000,1848.747280,101.955443
v2_2500_4,-0.080000,1.000000,1647.310947,101.845882
v2_2500_4,-0.070000,1.000000,1348.558610,5.268290
v2_2500_4,-0.060000,1.000000,1164.830786,4.740035
v2_2500_4,-0.050000,1.000000,985.983546,2.974111
v2_2500_4,-0.040000,1.000000,822.736411,1.940335
v2_2500_4,-0.030000,1.000000,678.716165,1.736657
v2_2500_4,-0.020000,1.000000,555.140322,1.547545
v2_2500_4,-0.010000,1.000000,451.820874,1.373332
v2_2500_4,0.000000,1.000000,364.235959,1.205729
v2_2500_4,0.010000,1.000000,290.708460,1.049003
v2_2500_4,0.020000,1.000000,228.843312,0.906464
v2_2500_4,0.030000,1.000000,176.267916,0.772944
v2_2500_4,0.040000,1.000000,134.416650,0.655068
v2_2500_4,0.050000,1.000000,101.143845,0.550571
v2_2500_4,0.060000,1.000000,75.653345,0.463647
v2_2500_4,0.070000,1.000000,55.772112,0.387062
v2_2500_4,0.080000,1.000000,40.298147,0.320106
v2_2500_4,0.090000,1.000000,28.396210,0.265468
v2_2500_4,0.100000,1.000000,19.219306,0.210557
v2_2500_4,0.101000,1.000000,18.457506,0.206203
v2_2500_4,0.102000,1.000000,17.757850,0.202556
v2_2500_4,0.103000,1.000000,16.988289,0.196621
v2_2500_4,0.104000,1.000000,16.381054,0.193492
v2_2500_4,0.105000,1.000000,15.643171,0.187515
v2_2500_4,0.106000,1.000000,15.033659,0.184468
v2_2500_4,0.107000,1.000000,14.415341,0.181146
v2_2500_4,0.108000,1.000000,13.770492,0.176211
v2_2500_4,0.109000,1.000000,13.208707,0.173232
v2_2500_4,0.110000,1.000000,12.605863,0.167845
v2_2500_4,0.111000,1.000000,12.039628,0.164008
v2_2500_4,0.112000,1.000000,11.502737,0.159798
v2_2500_4,0.113000,1.000000,10.910867,0.154015
v2_2500_4,0.114000,1.000000,10.417438,0.150986
v2_2500_4,0.115000,1.000000,9.963232,0.147619
v2_2500_4,0.116000,1.000000,9.500134,0.143685
v2_2500_4,0.117000,1.000000,8.994581,0.138548
v2_2500_4,0.118000,1.000000,8.548336,0.134776
v2_2500_4,0.119000,1.000000,8.173978,0.132365
v2_2500_4,0.120000,1.000000,7.766372,0.129396
v2_2500_4,0.121000,1.000000,7.371583,0.126370
v2_2500_4,0.122000,1.000000,6.998875,0.122145
v2_2500_4,0.123000,1.000000,6.636684,0.118867
v2_2500_4,0.124000,1.000000,6.269739,0.114277
v2_2500_4,0.125000,1.000000,5.858438,0.107608
v2_2500_4,0.126000,1.000000,5.533758,0.105169
v2_2500_4,0.127000,1.000000,5.241208,0.103376
v2_2500_4,0.128000,1.000000,4.980927,0.101247
v2_2500_4,0.129000,1.000000,4.671822,0.097205
v2_2500_4,0.130000,1.000000,4.367305,0.093205
v2_2500_4,0.131000,1.000000,4.092997,0.089062
v2_2500_4,0.132000,1.000000,3.823470,0.085608
v2_2500_4,0.133000,1.000000,3.613562,0.082547
v2_2500_4,0.134000,1.000000,3.373823,0.079138
v2_2500_4,0.135000,1.000000,3.133476,0.074423
v2_2500_4,0.136000,1.000000,2.936091,0.072793
v2_2500_4,0.137000,1.000000,2.762225,0.069528
v2_2500_4,0.138000,1.000000,2.575823,0.067935
v2_2500_4,0.139000,1.000000,2.361908,0.063883
v2_2500_4,0.140000,1.000000,2.206212,0.062358
v2_2500_4,0.141000,1.000000,2.039563,0.059608
v2_2500_4,0.142000,1.000000,1.894269,0.056680
v2_2500_4,0.143000,1.000000,1.735621,0.054911
v2_2500_4,0.144000,1.000000,1.597415,0.053303
v2_2500_4,0.145000,1.000000,1.453567,0.051548
v2_2500_4,0.146000,1.000000,1.339192,0.048902
v2_2500_4,0.147000,1.000000,1.231296,0.047372
v2_2500_4,0.148000,1.000000,1.100791,0.041487
v2_2500_4,0.149000,1.000000,1.005150,0.040045
v2_2500_4,0.150000,1.000000,0.902341,0.038337
v2_2500_4,0.151000,1.000000,0.798049,0.034753
v2_2500_4,0.152000,1.000000,0.710418,0.031003
v2_2500_4,0.153000,1.000000,0.647053,0.029901
v2_2500_4,0.154000,1.000000,0.590371,0.028821
v2_2500_4,0.155000,1.000000,0.530296,0.027644
v2_2500_4,0.156000,1.000000,0.470415,0.026353
v2_2500_4,0.157000,1.000000,0.424685,0.025406
v2_2500_4,0.158000,1.000000,0.357167,0.020636
v2_2500_4,0.159000,1.000000,0.311575,0.019348
v2_2500_4,0.160000,1.000000,0.264849,0.017841
v2_2500_4,0.161000,1.000000,0.230324,0.016631
v2_2500_4,0.162000,1.000000,0.188685,0.014821
v2_2500_4,0.163000,1.000000,0.173190,0.014268
v2_2500_4,0.164000,1.000000,0.136034,0.012513
v2_2500_4,0.165000,1.000000,0.118004,0.011502
v2_2500_4,0.166000,1.000000,0.102997,0.010666
v2_2500_4,0.167000,1.000000,0.088625,0.009891
v2_2500_4,0.168000,1.000000,0.077764,0.009392
v2_2500_4,0.169000,1.000000,0.061405,0.008321
v2_2500_4,0.170000,1.000000,0.053606,0.007815
v2_2500_4,0.171000,1.000000,0.044186,0.007104
v2_2500_4,0.172000,1.000000,0.033391,0.006193
v2_2500_4,0.173000,1.000000,0.027442,0.005600
v2_2500_4,0.174000,1.000000,0.020842,0.004730
v2_2500_4,0.175000,1.000000,0.015547,0.003987
v2_2500_4,0.176000,1.000000,0.013355,0.003775
v2_2500_4,0.177000,1.000000,0.007745,0.002967
v2_2500_4,0.178000,1.000000,0.005522,0.002394
v2_2500_4,0.179000,1.000000,0.004689,0.002251
v2_2500_4,0.180000,1.000000,0.004675,0.002251
v2_2500_4,0.190000,1.000000,0.000000,0.000000
v2_2500_4,0.200000,1.000000,0.000000,0.000000
v2_2500_4,0.210000,1.000000,0.000000,0.000000
v2_2500_4,0.220000,1.000000,0.000000,0.000000
v2_2500_4,0.230000,1.000000,0.000000,0.000000
v2_2500_4,0.240000,1.000000,0.000000,0.000000
v2_2500_4,0.250000,1.000000,0.000000,0.000000
v2_2500_4,0.260000,1.000000,0.000000,0.000000
v2_2500_4,0.270000,1.000000,0.000000,0.000000
v2_2500_4,0.280000,1.000000,0.000000,0.000000
v2_2500_4,0.290000,1.000000,0.000000,0.000000
v2_2500_4,0.300000,1.000000,0.000000,0.000000
v2_2500_4,-1.000000,1.500000,2808.226872,103.057202
v2_2500_4,-0.300000,1.500000,2808.226872,103.057202
v2_2500_4,-0.290000,1.500000,2808.226872,103.057202
v2_2500_4,-0.280000,1.500000,2808.226872,103.057202
v2_2500_4,-0.270000,1.500000,2808.226872,103.057202
v2_2500_4,-0.260000,1.500000,2808.226872,103.057202
v2_2500_4,-0.250000,1.500000,2808.226872,103.057202
v2_2500_4,-0.240000,1.500000,2808.221347,103.057202
v2_2500_4,-0.230000,1.500000,2808.037314,103.057193
v2_2500_4,-0.220000,1.500000,2804.712748,103.036660
v2_2500_4,-0.210000,1.500000,2800.325568,103.036430
v2_2500_4,-0.200000,1.500000,2786.889814,103.015369
v2_2500_4,-0.190000,1.500000,2763.744993,102.993879
v2_2500_4,-0.180000,1.500000,2729.218470,102.971908
v2_2500_4,-0.170000,1.500000,2670.537726,102.867337
v2_2500_4,-0.160000,1.500000,2578.221722,102.638650
v2_2500_4,-0.150000,1.500000,2470.183170,102.511423
v2_2500_4,-0.140000,1.500000,2317.831147,102.218248
v2_2500_4,-0.130000,1.500000,2160.765968,102.130185
v2_2500_4,-0.120000,1.500000,1986.754523,102.062369
v2_2500_4,-0.110000,1.500000,1781.366417,101.849380
v2_2500_4,-0.100000,1.500000,1585.659301,101.843125
v2_2500_4,-0.090000,1.500000,1277.856505,5.211233
v2_2500_4,-0.080000,1.500000,1080.764306,4.194818
v2_2500_4,-0.070000,1.500000,897.696848,2.858940
v2_2500_4,-0.060000,1.500000,738.767912,2.710513
v2_2500_4,-0.050000,1.500000,600.091565,2.578364
v2_2500_4,-0.040000,1.500000,479.903072,1.363553
v2_2500_4,-0.030000,1.500000,381.481831,1.188064
v2_2500_4,-0.020000,1.500000,299.639866,1.025302
v2_2500_4,-0.010000,1.500000,233.222250,0.879005
v2_2500_4,0.000000,1.500000,179.206783,0.744499
v2_2500_4,0.010000,1.500000,136.320872,0.629811
v2_2500_4,0.020000,1.500000,101.780729,0.526393
v2_2500_4,0.030000,1.500000,75.022979,0.436155
v2_2500_4,0.040000,1.500000,54.839188,0.360817
v2_2500_4,0.050000,1.500000,39.795832,0.295301
v2_2500_4,0.060000,1.500000,28.810894,0.243938
v2_2500_4,0.070000,1.500000,21.098705,0.208264
v2_2500_4,0.080000,1.500000,15.407279,0.175194
v2_2500_4,0.090000,1.500000,10.994886,0.143213
v2_2500_4,0.100000,1.500000,7.893220,0.118932
v2_2500_4,0.101000,1.500000,7.610778,0.116109
v2_2500_4,0.102000,1.500000,7.324685,0.113030
v2_2500_4,0.103000,1.500000,7.072046,0.110761
v2_2500_4,0.104000,1.500000,6.840398,0.109847
v2_2500_4,0.105000,1.500000,6.598627,0.107933
v2_2500_4,0.106000,1.500000,6.362202,0.105511
v2_2500_4,0.107000,1.500000,6.136113,0.103939
v2_2500_4,0.108000,1.500000,5.928375,0.103040
v2_2500_4,0.109000,1.500000,5.751021,0.102385
v2_2500_4,0.110000,1.500000,5.508468,0.099174
v2_2500_4,0.111000,1.500000,5.284897,0.095960
v2_2500_4,0.112000,1.500000,5.070380,0.094213
v2_2500_4,0.113000,1.500000,4.874099,0.091818
v2_2500_4,0.114000,1.500000,4.701418,0.090244
v2_2500_4,0.115000,1.500000,4.511002,0.087644
v2_2500_4,0.116000,1.500000,4.300127,0.084120
v2_2500_4,0.117000,1.500000,4.160502,0.083447
v2_2500_4,0.118000,1.500000,3.983202,0.081678
v2_2500_4,0.119000,1.500000,3.809020,0.078211
v2_2500_4,0.120000,1.500000,3.672694,0.077409
v2_2500_4,0.121000,1.500000,3.498919,0.074488
v2_2500_4,0.122000,1.500000,3.339736,0.073497
v2_2500_4,0.123000,1.500000,3.204203,0.071605
v2_2500_4,0.124000,1.500000,3.071766,0.070922
v2_2500_4,0.125000,1.500000,2.950070,0.070302
v2_2500_4,0.126000,1.500000,2.833340,0.069738
v2_2500_4,0.127000,1.500000,2.693613,0.065805
v2_2500_4,0.128000,1.500000,2.570469,0.065077
v2_2500_4,0.129000,1.500000,2.444482,0.062081
v2_2500_4,0.130000,1.500000,2.310658,0.059876
v2_2500_4,0.131000,1.500000,2.212463,0.059263
v2_2500_4,0.132000,1.500000,2.084098,0.057012
v2_2500_4,0.133000,1.500000,1.991614,0.055142
v2_2500_4,0.134000,1.500000,1.883152,0.051635
v2_2500_4,0.135000,1.500000,1.784473,0.047945
v2_2500_4,0.136000,1.500000,1.690567,0.045799
v2_2500_4,0.137000,1.500000,1.607396,0.045033
v2_2500_4,0.138000,1.500000,1.530099,0.044413
v2_2500_4,0.139000,1.500000,1.445564,0.043696
v2_2500_4,0.140000,1.500000,1.371100,0.043058
v2_2500_4,0.141000,1.500000,1.301902,0.042394
v2_2500_4,0.142000,1.500000,1.221670,0.041510
v2_2500_4,0.143000,1.500000,1.148071,0.040950
v2_2500_4,0.144000,1.500000,1.083244,0.040431
v2_2500_4,0.145000,1.500000,1.018953,0.039821
v2_2500_4,0.146000,1.500000,0.923185,0.032926
v2_2500_4,0.147000,1.500000,0.860476,0.032054
v2_2500_4,0.148000,1.500000,0.801589,0.029106
v2_2500_4,0.149000,1.500000,0.756050,0.028611
v2_2500_4,0.150000,1.500000,0.715945,0.028198
v2_2500_4,0.151000,1.500000,0.666855,0.027702
v2_2500_4,0.152000,1.500000,0.625903,0.027223
v2_2500_4,0.153000,1.500000,0.576544,0.023742
v2_2500_4,0.154000,1.500000,0.534668,0.022901
v2_2500_4,0.155000,1.500000,0.497631,0.022473
v2_2500_4,0.156000,1.500000,0.461725,0.021482
v2_2500_4,0.157000,1.500000,0.422242,0.020083
v2_2500_4,0.158000,1.500000,0.378950,0.015214
v2_2500_4,0.159000,1.500000,0.346580,0.014639
v2_2500_4,0.160000,1.500000,0.316995,0.014038
v2_2500_4,0.161000,1.500000,0.295055,0.013602
v2_2500_4,0.162000,1.500000,0.272581,0.013166
v2_2500_4,0.163000,1.500000,0.248437,0.012684
v2_2500_4,0.164000,1.500000,0.222542,0.011522
v2_2500_4,0.165000,1.500000,0.199029,0.011043
v2_2500_4,0.166000,1.500000,0.175114,0.010380
v2_2500_4,0.167000,1.500000,0.155669,0.009559
v2_2500_4,0.168000,1.500000,0.136758,0.008993
