stem,hepmc_file,hepmc_size_B,hepmc_size,mc_file,mc_size_B,mc_size,ratio(mc/hepmc),result,reason
Signal_1-0_0-08_0-2.0.0,Signal_1-0_0-08_0-2.0.0.hepmc.gz,1640402445,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-08_0-2.0.1,Signal_1-0_0-08_0-2.0.1.hepmc.gz,1657118920,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-08_0-2.0.2,Signal_1-0_0-08_0-2.0.2.hepmc.gz,1649839792,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-08_0-2.0.3,Signal_1-0_0-08_0-2.0.3.hepmc.gz,1685090566,1.6 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-08_0-2.0.4,Signal_1-0_0-08_0-2.0.4.hepmc.gz,1658982944,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-08_0-3.0.0,Signal_1-0_0-08_0-3.0.0.hepmc.gz,1625578059,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-08_0-3.0.1,Signal_1-0_0-08_0-3.0.1.hepmc.gz,1622972799,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-08_0-3.0.2,Signal_1-0_0-08_0-3.0.2.hepmc.gz,1612708555,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-08_0-3.0.3,Signal_1-0_0-08_0-3.0.3.hepmc.gz,1616484167,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-08_0-3.0.4,Signal_1-0_0-08_0-3.0.4.hepmc.gz,1612973080,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-08_0-7.0.0,Signal_1-0_0-08_0-7.0.0.hepmc.gz,1590698973,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-08_0-7.0.1,Signal_1-0_0-08_0-7.0.1.hepmc.gz,1565407508,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-08_0-7.0.2,Signal_1-0_0-08_0-7.0.2.hepmc.gz,1586909499,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-08_0-7.0.3,Signal_1-0_0-08_0-7.0.3.hepmc.gz,1577944900,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-08_0-7.0.4,Signal_1-0_0-08_0-7.0.4.hepmc.gz,1585709232,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-1_0-2.0.0,Signal_1-0_0-1_0-2.0.0.hepmc.gz,1622235341,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-1_0-2.0.1,Signal_1-0_0-1_0-2.0.1.hepmc.gz,1653000196,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-1_0-2.0.2,Signal_1-0_0-1_0-2.0.2.hepmc.gz,1645353066,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-1_0-2.0.3,Signal_1-0_0-1_0-2.0.3.hepmc.gz,1642522387,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-1_0-2.0.4,Signal_1-0_0-1_0-2.0.4.hepmc.gz,1646655399,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-1_0-7.0.0,Signal_1-0_0-1_0-7.0.0.hepmc.gz,1566329642,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-1_0-7.0.1,Signal_1-0_0-1_0-7.0.1.hepmc.gz,1558033658,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-1_0-7.0.2,Signal_1-0_0-1_0-7.0.2.hepmc.gz,1564136286,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-1_0-7.0.3,Signal_1-0_0-1_0-7.0.3.hepmc.gz,1562447430,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-1_0-7.0.4,Signal_1-0_0-1_0-7.0.4.hepmc.gz,1578465690,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-08.0.0,Signal_1-0_0-2_0-08.0.0.hepmc.gz,1628383417,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-08.0.1,Signal_1-0_0-2_0-08.0.1.hepmc.gz,1592486015,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-08.0.2,Signal_1-0_0-2_0-08.0.2.hepmc.gz,1631367448,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-08.0.3,Signal_1-0_0-2_0-08.0.3.hepmc.gz,1621928197,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-08.0.4,Signal_1-0_0-2_0-08.0.4.hepmc.gz,1611688034,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-1.0.0,Signal_1-0_0-2_0-1.0.0.hepmc.gz,1604733131,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-1.0.1,Signal_1-0_0-2_0-1.0.1.hepmc.gz,1615707070,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-1.0.2,Signal_1-0_0-2_0-1.0.2.hepmc.gz,1615876569,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-1.0.3,Signal_1-0_0-2_0-1.0.3.hepmc.gz,1610440797,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-1.0.4,Signal_1-0_0-2_0-1.0.4.hepmc.gz,1605259001,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-2.0.0,Signal_1-0_0-2_0-2.0.0.hepmc.gz,1611575189,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-2.0.1,Signal_1-0_0-2_0-2.0.1.hepmc.gz,1614763561,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-2.0.2,Signal_1-0_0-2_0-2.0.2.hepmc.gz,1611735689,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-2.0.3,Signal_1-0_0-2_0-2.0.3.hepmc.gz,1576316220,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-2.0.4,Signal_1-0_0-2_0-2.0.4.hepmc.gz,1617838718,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-3.0.0,Signal_1-0_0-2_0-3.0.0.hepmc.gz,1616869610,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-3.0.1,Signal_1-0_0-2_0-3.0.1.hepmc.gz,1597545102,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-3.0.2,Signal_1-0_0-2_0-3.0.2.hepmc.gz,1578146201,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-3.0.3,Signal_1-0_0-2_0-3.0.3.hepmc.gz,1615166729,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-3.0.4,Signal_1-0_0-2_0-3.0.4.hepmc.gz,1605191985,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-5.0.0,Signal_1-0_0-2_0-5.0.0.hepmc.gz,1585257458,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-5.0.1,Signal_1-0_0-2_0-5.0.1.hepmc.gz,1604581965,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-5.0.2,Signal_1-0_0-2_0-5.0.2.hepmc.gz,1603547477,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-5.0.3,Signal_1-0_0-2_0-5.0.3.hepmc.gz,1600186264,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-5.0.4,Signal_1-0_0-2_0-5.0.4.hepmc.gz,1604839768,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-7.0.0,Signal_1-0_0-2_0-7.0.0.hepmc.gz,1543744589,1.4 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-7.0.1,Signal_1-0_0-2_0-7.0.1.hepmc.gz,1575426589,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-7.0.2,Signal_1-0_0-2_0-7.0.2.hepmc.gz,1570408918,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-7.0.3,Signal_1-0_0-2_0-7.0.3.hepmc.gz,1567332383,1.5 GB,,,-,,X,MC 파일 없음
Signal_1-0_0-2_0-7.0.4,Signal_1-0_0-2_0-7.0.4.hepmc.gz,1570470071,1.5 GB,,,-,,X,MC 파일 없음
